Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
2018-08-01T00:00:00Z,Equity Mutual Fund B,Saving Bank account 1,,,2000.0,Transfer-Out,INR
2018-07-31T21:52:08Z,Cash,Apparel,Laundry,13 clothes ironing,91.0,Expense,INR
2018-07-31T18:01:20Z,Saving Bank account 1,Money transfer,Home,,30000.0,Expense,INR
2018-07-31T13:45:08Z,Cash,maid,,July salary,2000.0,Expense,INR
2018-07-31T13:44:15Z,Cash,Food,chocolate,10 melody,10.0,Expense,INR
2018-07-31T09:05:17Z,Saving Bank account 1,Salary,,From workplace ,70255.0,Income,INR
2018-07-30T18:44:23Z,Cash,Health,Medicine,Glucose D(50) + flora bc (40)+cyra 20(10),100.0,Expense,INR
2018-07-30T13:19:56Z,Cash,Health,Medicine,,132.0,Expense,INR
2018-07-30T13:19:36Z,Saving Bank account 1,Food,Lunch,Catering Service,212.0,Expense,INR
2018-07-30T11:49:11Z,Cash,Food,breakfast,1 plates poha,25.0,Expense,INR
2018-07-29T19:29:54Z,Saving Bank account 1,Food,Eating out,Paneer pizza,260.0,Expense,INR
2018-07-29T15:52:47Z,Cash,Transportation,auto,Decathlon Place A to Place A station,50.0,Expense,INR
2018-07-29T11:39:53Z,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
2018-07-29T11:38:08Z,Saving Bank account 1,Transportation,Train,2 Place 0 to Place A returns,40.0,Expense,INR
2018-07-29T10:12:59Z,Cash,Food,breakfast,Medu vada 3 plate,105.0,Expense,INR
2018-07-28T23:42:57Z,Cash,Family,Pocket money,,200.0,Expense,INR
2018-07-28T23:42:57Z,Debit Card,Culture,Movie,2 INOX ,481.36,Expense,INR
2018-07-28T21:30:49Z,Cash,Food,vegetables,,195.0,Expense,INR
2018-07-28T20:45:00Z,Credit Card,Household,Kirana,Supermart,3750.0,Expense,INR
2018-07-27T18:39:39Z,Saving Bank account 1,Other,,Demat account charges,826.0,Expense,INR
2018-07-26T23:06:09Z,Cash,Food,Biscuits,Toast packet,40.0,Expense,INR
2018-07-26T13:44:31Z,Saving Bank account 1,Tax refund,,,6780.0,Income,INR
2018-07-23T12:49:29Z,Credit Card,subscription,Tata Sky,Current Residence - Tata Play recharge,154.0,Expense,INR
2018-07-23T12:33:32Z,Cash,Food,breakfast,4 plates poha,100.0,Expense,INR
2018-07-21T19:02:36Z,Cash,Household,Kirana,Supermart,368.0,Expense,INR
2018-07-21T19:02:16Z,Cash,Food,fruits,Khajur pav kg,30.0,Expense,INR
2018-07-21T18:37:38Z,Saving Bank account 1,Food,snacks,2 Bhajipav + 2 vadapav,60.0,Expense,INR
2018-07-21T08:42:11Z,Cash,Food,Biscuits,Toast packet,45.0,Expense,INR
2018-07-20T19:59:46Z,Cash,Food,Ice cream,chocobar,20.0,Expense,INR
2018-07-20T19:59:08Z,Cash,Food,Potato,potato 1kg,25.0,Expense,INR
2018-07-20T19:58:46Z,Cash,Food,Onions,onion 1 kg,25.0,Expense,INR
2018-07-20T13:06:14Z,Saving Bank account 1,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,155.0,Expense,INR
2018-07-20T12:29:28Z,Cash,Health,Medicine,Cataract Medicine,87.0,Expense,INR
2018-07-20T09:11:48Z,Credit Card,Health,Medicine,Cataract Medicine,1048.0,Expense,INR
2018-07-19T20:25:13Z,Cash,Food,curd,Dahi 4 packets,40.0,Expense,INR
2018-07-18T20:26:03Z,Cash,Food,flour mill,M D sure 4kg atta,216.0,Expense,INR
2018-07-16T17:51:56Z,Cash,Apparel,Laundry,12 clothes ironing,84.0,Expense,INR
2018-07-16T10:43:53Z,Credit Card,Household,Hardware,Sony WI-C100 earphones wireless,1190.0,Expense,INR
2018-07-16T10:41:01Z,Cash,Food,snacks,7 kachori,84.0,Expense,INR
2018-07-15T19:12:57Z,Cash,Food,fruits,,30.0,Expense,INR
2018-07-15T18:01:59Z,Cash,Food,vegetables,,500.0,Expense,INR
2018-07-15T09:41:01Z,Cash,Food,snacks,4 kachori,48.0,Expense,INR
2018-07-14T18:10:13Z,Saving Bank account 1,Other,,CA  - income tax filing,2000.0,Expense,INR
2018-07-13T14:02:44Z,Saving Bank account 1,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,188.0,Expense,INR
2018-07-13T09:36:19Z,Credit Card,Health,Medicine,Cataract Medicine,1358.0,Expense,INR
2018-07-13T00:00:00Z,Saving Bank account 1,Small Cap fund 2,,,5000.0,Transfer-Out,INR
2018-07-13T00:00:00Z,Saving Bank account 1,Small cap fund 1,,,5000.0,Transfer-Out,INR
2018-07-12T00:00:00Z,Cash,Food,Eggs,6 eggs,35.0,Expense,INR
2018-07-11T00:00:00Z,Cash,Food,Bread,2 bread packets,57.0,Expense,INR
2018-07-10T00:00:00Z,Saving Bank account 1,Dividend earned on Shares,,Tata Steel Stocks,180.0,Income,INR
2018-07-09T00:00:00Z,Cash,Transportation,Petrol,3.4 Lit Petrol,360.0,Expense,INR
2018-07-09T00:00:00Z,Cash,Food,Biscuits,Toast packet,20.0,Expense,INR
2018-07-09T00:00:00Z,Cash,Food,Grocery,Shev bhaji sev pav kg,60.0,Expense,INR
2018-07-08T00:00:00Z,Cash,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,185.0,Expense,INR
2018-07-08T00:00:00Z,Saving Bank account 1,Food,Tea,3 cutting chai,30.0,Expense,INR
2018-07-08T00:00:00Z,Credit Card,Health,Medicine,eye drop,153.0,Expense,INR
2018-07-08T00:00:00Z,Cash,Health,Hospital,Hospital consultation,500.0,Expense,INR
2018-07-08T00:00:00Z,Cash,Transportation,Taxi,Ola cab - Current Residence CHS to eye institute,130.0,Expense,INR
2018-07-08T00:00:00Z,Saving Bank account 1,Transportation,Taxi,To and Fro Cab Fare Contribution,675.0,Expense,INR
2018-07-07T00:00:00Z,Cash,Transportation,Train,Place 4 to Place 0,10.0,Expense,INR
2018-07-07T00:00:00Z,Credit Card,Food,Lunch,At restaurant,2.0,Expense,INR
2018-07-07T00:00:00Z,Saving Bank account 1,subscription,Mahanagar Gas,,196.0,Expense,INR
2018-07-07T00:00:00Z,Saving Bank account 1,Equity Mutual Fund E,,,1000.0,Transfer-Out,INR
2018-07-06T00:00:00Z,Cash,Food,Dinner,At restaurant,760.0,Expense,INR
2018-07-06T00:00:00Z,Cash,Transportation,Taxi,Park Inn Goa,100.0,Expense,INR
2018-07-05T00:00:00Z,Cash,Transportation,auto,Terminal 1 to Terminal 2,83.0,Expense,INR
2018-07-05T00:00:00Z,Cash,Food,Tea,cutting chai,7.0,Expense,INR
2018-07-05T00:00:00Z,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
2018-07-05T00:00:00Z,Cash,Transportation,Train,Place 0 to Place P,20.0,Expense,INR
2018-07-04T00:00:00Z,Cash,Health,Hospital,Doctor Fees,100.0,Expense,INR
2018-07-04T00:00:00Z,Cash,Beauty,grooming,Shaving,50.0,Expense,INR
2018-07-04T00:00:00Z,Cash,Family,Pocket money,,350.0,Expense,INR
2018-07-04T00:00:00Z,Saving Bank account 1,Health,Lab Tests,2 Thyroid (1000) + cholesterol (220) + uric acid (220),1440.0,Expense,INR
2018-07-03T00:00:00Z,Cash,maid,,,500.0,Expense,INR
2018-07-03T00:00:00Z,Saving Bank account 1,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-07-03T00:00:00Z,Credit Card,subscription,Tata Sky,Current Residence - Tata Play recharge,154.0,Expense,INR
2018-07-03T00:00:00Z,Saving Bank account 1,Dividend earned on Shares,,Infosys Stocks,52.5,Income,INR
2018-07-03T00:00:00Z,Equity Mutual Fund B,Saving Bank account 1,,,2000.0,Transfer-Out,INR
2018-07-02T00:00:00Z,Saving Bank account 1,Household,Kirana,Supermart,1595.0,Expense,INR
2018-07-02T00:00:00Z,Cash,Transportation,auto,Place 1 bridge to Current Residence 2 seats,50.0,Expense,INR
2018-07-02T00:00:00Z,Cash,Transportation,Bus,2 Place 6 Stand to MS,20.0,Expense,INR
2018-07-02T00:00:00Z,Credit Card,Household,home decor,Face towels + shampoo,626.0,Expense,INR
2018-07-02T00:00:00Z,Cash,Transportation,Bus,2 Place 1 to  mall,26.0,Expense,INR
2018-07-02T00:00:00Z,Cash,Transportation,auto,Current Residence to Place 1 bus stop highway,40.0,Expense,INR
2018-07-01T00:00:00Z,Debit Card,Culture,Movie,2 PVR ,461.0,Expense,INR
2018-07-01T00:00:00Z,Credit Card,Transportation,Travels,2 Place 2 to Place 1 - Shree Sharma Travels,1890.0,Expense,INR
2018-07-01T00:00:00Z,Saving Bank account 1,Food,snacks,Vadapav,15.0,Expense,INR
2018-07-01T00:00:00Z,Saving Bank account 1,Apparel,Clothing,undergarments pair of Jockey,430.0,Expense,INR
2018-07-01T00:00:00Z,Cash,Apparel,Laundry,clothes ironing,98.0,Expense,INR
2018-07-01T00:00:00Z,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-07-01T00:00:00Z,Saving Bank account 1,Public Provident Fund,,,12500.0,Transfer-Out,INR
2018-07-01T00:00:00Z,Saving Bank account 1,Money transfer,Home,,10000.0,Expense,INR
2018-06-30T18:47:45Z,Saving Bank account 1,Household,Appliances,Aqugurad PRV,1200.0,Expense,INR
2018-06-30T08:45:37Z,Saving Bank account 1,Dividend earned on Shares,,Asian paints Stocks,43.0,Income,INR
2018-06-30T08:45:18Z,Saving Bank account 1,Interest,,interest paid,342.0,Income,INR
2018-06-30T08:44:48Z,Saving Bank account 1,Salary,,From workplace ,65122.0,Income,INR
2018-06-29T17:01:00Z,Saving Bank account 1,Dividend earned on Shares,,HUL Stocks,44.0,Income,INR
2018-06-29T16:13:02Z,Cash,Household,Hardware,Tulsi plant+ pot,70.0,Expense,INR
2018-06-29T16:10:41Z,Cash,Household,Kitchen,Math tap repair,50.0,Expense,INR
2018-06-29T15:28:46Z,Cash,Household,Appliances,3 bulbs 3 pencil cells,270.0,Expense,INR
2018-06-28T20:44:36Z,Credit Card,Food,Dinner,Home Food Delivery,455.0,Expense,INR
2018-06-28T18:35:52Z,Cash,Food,snacks,Bhaji + vadapav + kachori+ tea,70.0,Expense,INR
2018-06-28T15:06:59Z,Cash,Transportation,Taxi,Vadala road to Nehru Planetarium,228.0,Expense,INR
2018-06-28T10:08:21Z,Credit Card,Apparel,Footwear,Mast & Harbour Slides,64.82,Expense,INR
2018-06-27T21:32:27Z,Credit Card,Tourism,Entry Fees,Planetarium,308.85,Expense,INR
2018-06-27T19:11:09Z,Saving Bank account 1,Other,,From Family,3000.0,Income,INR
2018-06-27T18:53:54Z,Cash,Food,Tea,2 cups,14.0,Expense,INR
2018-06-27T18:48:45Z,Cash,Household,gadgets,Mobile cover real mi note pro,100.0,Expense,INR
2018-06-27T18:46:33Z,Credit Card,Other,,Shopping at Alfa,4720.0,Expense,INR
2018-06-27T18:46:48Z,Cash,Household,gadgets,Mouse pad,100.0,Expense,INR
2018-06-27T18:43:23Z,Credit Card,Apparel,Accessories,Purse,450.0,Expense,INR
2018-06-27T18:19:27Z,Credit Card,Apparel,Footwear,Rainy season chappal,550.0,Expense,INR
2018-06-27T18:18:28Z,Cash,Transportation,auto,Place P station to Alfa market,25.0,Expense,INR
2018-06-27T14:00:32Z,Cash,Transportation,Train,2 Place 0 to Place P return,80.0,Expense,INR
2018-06-27T13:59:52Z,Cash,Transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR
2018-06-27T06:30:08Z,Share Market Trading,Saving Bank account 1,,Refund,2549.59,Transfer-Out,INR
2018-06-26T19:47:42Z,Cash,Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR
2018-06-26T19:47:42Z,Credit Card,Household,Kirana,Supermart,1990.0,Expense,INR
2018-06-26T17:25:23Z,Saving Bank account 1,Household,Appliances,Aqugurad water purifier,13050.0,Expense,INR
2018-06-26T12:49:54Z,Saving Bank account 1,Household,Hardware,Umbrella handle repair,70.0,Expense,INR
2018-06-26T11:47:08Z,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
2018-06-26T11:45:49Z,Cash,Food,Tea,2 cutting chai,20.0,Expense,INR
2018-06-26T11:44:48Z,Cash,Food,snacks,Bhaji + vadapav,30.0,Expense,INR
2018-06-25T15:09:49Z,Saving Bank account 1,Food,Lunch,Home Food Delivery,320.0,Expense,INR
2018-06-25T14:23:22Z,Credit Card,Household,Kirana,Smart point,2074.0,Expense,INR
2018-06-24T16:11:39Z,Cash,Transportation,auto,2 Place 0 to Current Residence,40.0,Expense,INR
2018-06-24T16:11:17Z,Saving Bank account 1,Food,breakfast,Bread,18.0,Expense,INR
2018-06-24T16:11:07Z,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-06-24T14:37:00Z,Credit Card,Health,Health,Suppliemnts,211.75,Expense,INR
2018-06-24T13:31:06Z,Cash,Transportation,Train,2 Place 5 to Place 0,30.0,Expense,INR
2018-06-24T11:29:20Z,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR
2018-06-24T11:00:13Z,Cash,Food,snacks,2 Vadapav 2 samosa pav,60.0,Expense,INR
2018-06-23T19:25:22Z,Credit Card,subscription,Mobile Service Provider,Annual recharge,2545.0,Expense,INR
2018-06-23T10:15:35Z,Cash,Transportation,auto,,30.0,Expense,INR
2018-06-22T15:32:22Z,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,181.0,Expense,INR
2018-06-19T13:24:01Z,Saving Bank account 1,Family,Pocket money,,2000.0,Expense,INR
2018-06-19T10:25:47Z,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,25.0,Expense,INR
2018-06-18T22:18:59Z,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,15.0,Expense,INR
2018-06-16T09:01:39Z,Saving Bank account 1,Share Market,,,8500.0,Transfer-Out,INR
2018-06-15T21:19:39Z,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,15.0,Expense,INR
2018-06-15T09:24:33Z,Saving Bank account 1,Transportation,train,2CC Place 2 to DDR Spl Train,1213.6,Expense,INR
2018-06-13T00:00:00Z,Saving Bank account 1,Small Cap fund 2,,,5000.0,Transfer-Out,INR
2018-06-13T00:00:00Z,Saving Bank account 1,Small cap fund 1,,,5000.0,Transfer-Out,INR
2018-06-11T00:00:00Z,Cash,Food,Eggs,12 eggs,84.0,Expense,INR
2018-06-11T00:00:00Z,Credit Card,Self-development,,Marathon,1407.0,Expense,INR
2018-06-10T00:00:00Z,Saving Bank account 1,Household,home decor,Sofa covers,3000.0,Expense,INR
2018-06-09T00:00:00Z,Credit Card,subscription,Mobile Service Provider,Data booster pack,667.0,Expense,INR
2018-06-07T00:00:00Z,Saving Bank account 1,Equity Mutual Fund E,,,1000.0,Transfer-Out,INR
2018-06-01T00:00:00Z,Saving Bank account 1,Public Provident Fund,,,12500.0,Transfer-Out,INR
2018-06-01T00:00:00Z,Equity Mutual Fund B,Saving Bank account 1,,,2000.0,Transfer-Out,INR
2018-05-31T08:47:33Z,Saving Bank account 1,Salary,,From workplace ,65134.0,Income,INR
2018-05-30T07:42:56Z,Saving Bank account 1,Dividend earned on Shares,,HDFC Stocks,88.0,Income,INR
2018-05-28T14:11:17Z,Credit Card,subscription,Mobile Service Provider,Data booster pack,25.0,Expense,INR
2018-05-28T10:41:59Z,Cash,Beauty,grooming,hair cut,100.0,Expense,INR
2018-05-27T10:50:10Z,Saving Bank account 2,Interest,,interest paid,28.0,Income,INR
2018-05-27T10:50:10Z,Cash,Household,Kirana,Soap + dahya pav kg,75.0,Expense,INR
2018-05-26T07:55:09Z,Cash,Transportation,auto,Permanent Residence to Motor Driving school,50.0,Expense,INR
2018-05-24T09:04:01Z,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,667.0,Expense,INR
2018-05-23T21:20:18Z,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,166.0,Expense,INR
2018-05-22T20:47:36Z,Cash,Health,Health,2 All out refill,154.0,Expense,INR
2018-05-22T00:00:00Z,Saving Bank account 1,Life Insurance,,,11043.0,Transfer-Out,INR
2018-05-21T14:06:05Z,Cash,Family,Pocket money,,140.0,Expense,INR
2018-05-20T14:06:20Z,Saving Bank account 1,Family,misc,"Soap, shampoo, razor",122.0,Expense,INR
2018-05-19T19:26:19Z,Cash,Household,Kitchen,flour mill,25.0,Expense,INR
2018-05-19T15:17:18Z,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,15.0,Expense,INR
2018-05-18T15:35:49Z,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,301.0,Expense,INR
2018-05-15T20:11:58Z,Saving Bank account 1,Food,Ice cream,Cookies & cream family pack,135.0,Expense,INR
2018-05-15T20:11:12Z,Cash,Transportation,auto,within city,30.0,Expense,INR
2018-05-15T20:10:10Z,Saving Bank account 1,Household,Appliances,LG Washing Machine,21500.0,Expense,INR
2018-05-15T18:43:55Z,Cash,Transportation,auto,Permanent Residence to GH road,50.0,Expense,INR
2018-05-14T23:09:55Z,Saving Bank account 1,Amazon pay cashback,,,21.0,Income,INR
2018-05-14T23:08:45Z,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,301.0,Expense,INR
2018-05-14T22:49:32Z,Cash,Other,,Digilock room charges,40.0,Expense,INR
2018-05-14T22:49:07Z,Cash,Transportation,auto,Place 2 station to Permanent Residence,50.0,Expense,INR
2018-05-14T18:01:15Z,Cash,Food,snacks,Potato chips,15.0,Expense,INR
2018-05-14T12:55:41Z,Saving Bank account 1,Food,fruits,2 dozens mango + 1kg litchi,1250.0,Expense,INR
2018-05-14T09:47:57Z,Cash,Transportation,Train,2 Place 0 to Place 3,40.0,Expense,INR
2018-05-14T09:47:13Z,Cash,Transportation,auto,2 Current Residence to Place 0,40.0,Expense,INR
2018-05-13T20:18:01Z,Cash,Apparel,Laundry,clothes ironing,77.0,Expense,INR
2018-05-13T20:16:54Z,Cash,Education,Stationary,Gel pen Refills,12.0,Expense,INR
2018-05-13T00:06:05Z,Cash,scrap,,,20.0,Income,INR
